term,docid,tf_in_doc,tf_idf,idf
overview,1,9,0.0030323397969238457,3.332204510175204
overview,3,3,0.0007105923749307372,3.332204510175204
overview,6,4,0.001806072905244013,3.332204510175204
overview,7,7,0.002402949579811108,3.332204510175204
overview,8,1,0.0005775051144151133,3.332204510175204
overview,10,3,0.0016289088366507434,3.332204510175204
overview,12,1,0.00028895287115636523,3.332204510175204
overview,18,17,0.002179335847073384,3.332204510175204
histor,1,7,0.002358486508718547,3.332204510175204
histor,3,2,0.0004737282499538248,3.332204510175204
histor,6,17,0.007675809847287055,3.332204510175204
histor,7,2,0.0006865570228031737,3.332204510175204
histor,10,1,0.0005429696122169145,3.332204510175204
histor,11,1,0.0005559233417042382,3.332204510175204
histor,17,1,0.00124754942350251,3.332204510175204
histor,18,1,0.00012819622629843435,3.332204510175204
perspect,1,11,0.0037452228644945617,3.367295829986474
perspect,3,2,0.00047871706425738894,3.367295829986474
perspect,8,1,0.0005835867989577945,3.367295829986474
perspect,11,10,0.005617777494138262,3.367295829986474
perspect,12,31,0.009051870510716329,3.367295829986474
perspect,16,1,0.0004470652987236423,3.367295829986474
perspect,17,1,0.0012606873193509826,3.367295829986474
perspect,18,16,0.0020727400946325392,3.367295829986474
perspect,20,4,0.005680802749871741,3.367295829986474
explain,1,86,0.029575629405757874,3.4011973816621555
explain,8,3,0.0017683868535505142,3.4011973816621555
explain,10,86,0.04766220870505872,3.4011973816621555
explain,11,1,0.0005674336639409669,3.4011973816621555
explain,12,1,0.00029493560368211544,3.4011973816621555
explain,16,1,0.00045156630133592077,3.4011973816621555
explain,17,58,0.07385602700726507,3.4011973816621555
explain,18,319,0.041741313613289255,3.4011973816621555
explain,19,2,0.0014669818337986436,3.4011973816621555
explain,20,1,0.0014344991065635409,3.4011973816621555
artifici,1,29,0.009438564097186837,3.2188758248682006
artifici,3,6,0.0013728500816895936,3.2188758248682006
artifici,13,1,0.0015183376532397173,3.2188758248682006
artifici,15,1,0.0008742193983889735,3.2188758248682006
artifici,19,23,0.01596595729393328,3.2188758248682006
intellig,1,40,0.01414158771068344,3.4965075614664802
intellig,6,4,0.001895126049575328,3.4965075614664802
intellig,7,4,0.001440819021929115,3.4965075614664802
intellig,8,1,0.000605980513252423,3.4965075614664802
intellig,10,19,0.010825100809493747,3.4965075614664802
intellig,11,2,0.0011666691896785053,3.4965075614664802
intellig,13,2,0.003298592039119321,3.4965075614664802
intellig,14,7,0.008196769233176611,3.4965075614664802
intellig,15,5,0.004748109127466703,3.4965075614664802
intellig,16,1,0.00046422033476719064,3.4965075614664802
intellig,17,13,0.017017820403992603,3.4965075614664802
intellig,18,75,0.010088795718462124,3.4965075614664802
intellig,19,21,0.01583494905990858,3.4965075614664802
roberto,1,4,0.001231353867633336,3.044522437723423
confalonieri,1,27,0.008311638606525017,3.044522437723423
ludovik,1,2,0.000615676933816668,3.044522437723423
coba,1,11,0.003386223135991674,3.044522437723423
benedikt,1,2,0.000615676933816668,3.044522437723423
wagner,1,3,0.0009376266289256773,3.091042453358316
wagner,18,1,0.00011891826466195961,3.091042453358316
tarek,1,3,0.0009235154007250019,3.044522437723423
besold,1,15,0.004688133144628386,3.091042453358316
besold,18,1,0.00011891826466195961,3.091042453358316
faculti,1,2,0.0006426802488064602,3.1780538303479458
faculti,7,1,0.00032739814879447263,3.1780538303479458
faculti,8,2,0.001101578450727191,3.1780538303479458
faculti,16,2,0.0008438804647764061,3.1780538303479458
comput,1,22,0.008091698231949492,3.6375861597263857
comput,3,17,0.0043957182766099345,3.6375861597263857
comput,4,1,0.0008569107561192899,3.6375861597263857
comput,5,1,0.0008569107561192899,3.6375861597263857
comput,6,13,0.006407672097078999,3.6375861597263857
comput,7,78,0.02922959930551747,3.6375861597263857
comput,8,15,0.0094564631535348,3.6375861597263857
comput,9,5,0.00517584826369719,3.6375861597263857
comput,10,34,0.020152831909841473,3.6375861597263857
comput,11,10,0.0060687123118558315,3.6375861597263857
comput,12,18,0.005677813985004764,3.6375861597263857
comput,13,8,0.013726740225382587,3.6375861597263857
comput,14,15,0.018273205758839846,3.6375861597263857
comput,15,22,0.02173462670124402,3.6375861597263857
comput,16,20,0.009659017949353123,3.6375861597263857
comput,17,12,0.016342581024603755,3.6375861597263857
comput,18,63,0.00881652475907984,3.6375861597263857
comput,19,15,0.011767046020249252,3.6375861597263857
scienc,1,13,0.004746403727439324,3.6109179126442243
scienc,2,2,0.006649940907263765,3.6109179126442243
scienc,3,9,0.0023100839645861545,3.6109179126442243
scienc,4,1,0.0008506284835439868,3.6109179126442243
scienc,5,1,0.0008506284835439868,3.6109179126442243
scienc,7,30,0.01115973394244635,3.6109179126442243
scienc,8,1,0.0006258089969920666,3.6109179126442243
scienc,10,17,0.01000254269430533,3.6109179126442243
scienc,12,1,0.0003131215671734499,3.6109179126442243
scienc,13,4,0.006813052665366461,3.6109179126442243
scienc,14,14,0.01692995672371706,3.6109179126442243
scienc,15,2,0.001961389414798601,3.6109179126442243
scienc,16,12,0.005752922856044967,3.6109179126442243
scienc,17,4,0.005407589535970385,3.6109179126442243
scienc,18,34,0.004723241219940124,3.6109179126442243
scienc,19,1,0.0007787185492008248,3.6109179126442243
scienc,20,2,0.0030459029208302186,3.6109179126442243
free,1,3,0.0009511104800593983,3.1354942159291497
free,3,1,0.00022288130622186164,3.1354942159291497
free,8,1,0.0005434132089998527,3.1354942159291497
univers,1,4,0.0014919633788125122,3.6888794541139363
univers,2,3,0.010190274735121371,3.6888794541139363
univers,3,8,0.0020977420836587636,3.6888794541139363
univers,4,1,0.0008689939821234243,3.6888794541139363
univers,5,1,0.0008689939821234243,3.6888794541139363
univers,6,13,0.0064980261386830855,3.6888794541139363
univers,7,24,0.009120542587692846,3.6888794541139363
univers,8,3,0.0019179615879275232,3.6888794541139363
univers,9,1,0.0010497664923488721,3.6888794541139363
univers,10,2,0.001202176781526458,3.6888794541139363
univers,11,5,0.00307714335511673,3.6888794541139363
univers,12,3,0.0009596460598631469,3.6888794541139363
univers,13,7,0.012180262348489413,3.6888794541139363
univers,14,1,0.001235391645717996,3.6888794541139363
univers,15,11,0.01102055241587542,3.6888794541139363
univers,16,29,0.014203067468043567,3.6888794541139363
univers,17,2,0.0027621710626087132,3.6888794541139363
univers,18,9,0.0012772636897251347,3.6888794541139363
univers,19,5,0.003977657379894259,3.6888794541139363
univers,20,5,0.007779163758148326,3.6888794541139363
bozenbolzano,1,4,0.001231353867633336,3.044522437723423
itali,1,1,0.0003213401244032301,3.1780538303479458
itali,6,1,0.00043063060031814983,3.1780538303479458
itali,13,1,0.0014990819954471442,3.1780538303479458
itali,15,1,0.0008631324905887956,3.1780538303479458
research,1,14,0.005186032663884232,3.6635616461296463
research,2,1,0.0033734453463440577,3.6635616461296463
research,3,51,0.013281322430524024,3.6635616461296463
research,4,3,0.0025890895025651207,3.6635616461296463
research,5,3,0.0025890895025651207,3.6635616461296463
research,6,8,0.003971340537809915,3.6635616461296463
research,7,19,0.007170873727873008,3.6635616461296463
research,8,5,0.0031746634715161576,3.6635616461296463
research,9,10,0.010425616522850444,3.6635616461296463
research,10,11,0.006566592489396466,3.6635616461296463
research,11,9,0.005500843312506976,3.6635616461296463
research,12,9,0.002859179224346758,3.6635616461296463
research,14,4,0.004907651233931208,3.6635616461296463
research,15,2,0.0019899845986581454,3.6635616461296463
research,16,9,0.004377596231434787,3.6635616461296463
research,17,14,0.01920249458847437,3.6635616461296463
research,18,47,0.006624375692228422,3.6635616461296463
research,19,9,0.007110643695313094,3.6635616461296463
research,20,3,0.004635463913280868,3.6635616461296463
centr,1,1,0.0003125422096418924,3.091042453358316
centr,10,1,0.0005036732040668594,3.091042453358316
machin,1,53,0.01935072288879109,3.6109179126442243
machin,4,4,0.0034025139341759473,3.6109179126442243
machin,5,4,0.0034025139341759473,3.6109179126442243
machin,6,12,0.005871411240071909,3.6109179126442243
machin,7,20,0.007439822628297568,3.6109179126442243
machin,8,18,0.0112645619458572,3.6109179126442243
machin,9,7,0.007193063571004431,3.6109179126442243
machin,10,23,0.013532851880530742,3.6109179126442243
machin,11,3,0.0018072662225446568,3.6109179126442243
machin,12,5,0.0015656078358672497,3.6109179126442243
machin,13,1,0.0017032631663416152,3.6109179126442243
machin,14,24,0.029022782954943527,3.6109179126442243
machin,15,5,0.004903473536996502,3.6109179126442243
machin,16,10,0.004794102380037473,3.6109179126442243
machin,17,11,0.01487087122391856,3.6109179126442243
machin,18,88,0.01222485962808032,3.6109179126442243
machin,19,30,0.023361556476024743,3.6109179126442243
learn,1,89,0.03273459739288659,3.6375861597263857
learn,4,10,0.008569107561192899,3.6375861597263857
learn,5,10,0.008569107561192899,3.6375861597263857
learn,6,25,0.012322446340536537,3.6375861597263857
learn,7,136,0.05096442955833815,3.6375861597263857
learn,8,65,0.04097800699865079,3.6375861597263857
learn,9,9,0.009316526874654944,3.6375861597263857
learn,10,69,0.040898394169972395,3.6375861597263857
learn,11,24,0.014564909548453997,3.6375861597263857
learn,12,53,0.01671800784473625,3.6375861597263857
learn,13,1,0.0017158425281728234,3.6375861597263857
learn,14,32,0.03898283895219167,3.6375861597263857
learn,15,5,0.004939687886646368,3.6375861597263857
learn,16,51,0.02463049577085046,3.6375861597263857
learn,17,28,0.038132689057408756,3.6375861597263857
learn,18,209,0.029248471026153758,3.6375861597263857
learn,19,46,0.036085607795431046,3.6375861597263857
learn,20,1,0.0015341991394881424,3.6375861597263857
citi,1,1,0.0003125422096418924,3.091042453358316
citi,18,2,0.00023783652932391923,3.091042453358316
london,1,1,0.0003254677274892013,3.2188758248682006
london,2,1,0.002963974056048067,3.2188758248682006
london,3,4,0.0009152333877930623,3.2188758248682006
london,18,1,0.0001238362568717809,3.2188758248682006
london,20,3,0.004072807876256686,3.2188758248682006
uk,1,1,0.0003213401244032301,3.1780538303479458
uk,2,2,0.005852769484987009,3.1780538303479458
uk,3,5,0.001129532922358525,3.1780538303479458
uk,7,4,0.0013095925951778905,3.1780538303479458
neurocat,1,1,0.000307838466908334,3.044522437723423
gmbh,1,1,0.0003125422096418924,3.091042453358316
gmbh,17,1,0.0011572603719050229,3.091042453358316
berlin,1,1,0.0003170368266864661,3.1354942159291497
